,Vtot,Vcap,V,dVtot,dVcap,dV,theta,M,Date,Close,Signal
892,19881404.902271997,19947.57242512646,19861457.298100837,34685.36753759113,93.89185274349529,34591.47568484764,-106841999.85080601,17806999.975134335,2017-07-19,35.9900016784668,0
893,20289815.58714565,19948.490648175608,20269867.06475144,408410.6848736528,0.9182230491486629,408409.7666506037,119168743.78860502,19861457.298100837,2017-07-20,36.1150016784668,1
894,20731445.184255388,19964.791222123273,20711480.36128723,441629.59710973874,16.30057394766607,441613.2965357911,119614198.02210915,19935699.670351524,2017-07-21,36.25,0
895,20314957.447753716,20004.585174298267,20294952.830833383,-416487.7365016727,39.79395217499553,-416527.5304538477,119201735.27030878,19866955.878384795,2017-07-24,36.125,0
896,18816905.450106516,20077.694139772444,18796827.72422071,-1498051.997647198,73.10896547417573,-1498125.106612672,112360369.18678491,18726728.197797485,2017-07-25,35.64500045776367,0
897,19048640.031267803,20080.031368616736,19028559.968153156,231734.58116128726,2.337228844293331,231732.24393244297,112596787.00990018,18766131.168316696,2017-07-26,35.720001220703125,0
898,19661198.712375876,20080.95568898233,19641117.724940863,612558.6811080732,0.9243203655948536,612557.7567877076,-114171359.80891894,19028559.968153156,2017-07-27,35.529998779296875,-1
899,18886391.260262765,20118.126546507283,18866273.101970226,-774807.452113111,37.17085752495251,-774844.622970636,-113122163.25893386,18853693.876488976,2017-07-28,35.775001525878906,0
900,18828109.697707463,20121.46298899756,18807988.202972434,-58281.562555301585,3.3364424902749796,-58284.89899779186,-112846880.17416577,18807813.36236096,2017-07-31,35.79499816894531,0
901,19343100.771702208,20122.38921653298,19322978.350739643,514991.073994744,0.9262275354219511,514990.1477672086,112847929.2178346,18807988.202972434,2017-08-01,35.959999084472656,1
902,19369326.081469197,20146.780573300144,19349179.269149866,26225.309766989514,24.391356767160776,26200.91841022235,112879317.43780401,18813219.572967336,2017-08-02,35.970001220703125,0
903,20489133.050285377,20163.832240828684,20468969.186298516,1119806.9688161789,17.051667528540687,1119789.9171486504,113993359.82475021,18998893.304125037,2017-08-03,36.32500076293945,0
904,19457822.251073703,20240.37562533378,19437581.84370234,-1031310.799211673,76.54338450509611,-1031387.3425961781,112957764.04553077,18826294.00758846,2017-08-04,35.994998931884766,0
905,19720019.27816046,20267.39946310928,19699751.846951317,262197.02708675544,27.02383777549903,262170.0032489799,113224516.03087717,18870752.671812862,2017-08-07,36.08000183105469,0
906,19339532.39491686,20309.381845935393,19319222.98132489,-380486.8832436034,41.982382826115476,-380528.8656264295,112847929.2178346,18807988.202972434,2017-08-08,35.959999084472656,0
907,19870347.72427319,20329.756825144414,19850017.93570201,530815.3293563321,20.37497920901877,530794.954377123,113381421.21742904,18896903.536238175,2017-08-09,36.130001068115234,0
908,20782483.93247831,20367.584258338946,20762116.316473935,912136.2082051178,37.827433194530904,912098.3807719233,114291476.08786926,19048579.34797821,2017-08-10,36.41999816894531,0
909,20808697.86548215,20447.158104720933,20788250.675631396,26213.93300384466,79.57384638198536,26134.359157462673,114322864.30783866,19053810.71797311,2017-08-11,36.43000030517578,0
910,20365888.815996934,20531.30921680541,20345357.475034095,-442809.0494852184,84.15111208447792,-442893.2005973029,113883524.99705406,18980587.49950901,2017-08-14,36.290000915527344,0
911,19876392.42229903,20598.808861421898,19855793.581691574,-489496.39369790343,67.49964461648705,-489563.89334251994,113397103.35631536,18899517.22605256,2017-08-15,36.1349983215332,0
912,20185891.505569596,20641.368500618995,20165250.105322942,309499.08327056636,42.5596391970964,309456.5236313693,113710925.70051749,18951820.950086247,2017-08-16,36.23500061035156,0
913,21034284.433875162,20691.674455075572,21013592.727674052,848392.9283055657,50.30595445657557,848342.6223511092,114558228.07321566,19093038.01220261,2017-08-17,36.505001068115234,0
914,20982051.987119827,20781.394539143785,20961270.56083465,-52232.446755333,89.72008406821163,-52322.166839401216,114511157.71435994,19085192.952393323,2017-08-18,36.4900016784668,0
915,21291521.651546534,20866.302732588865,21270655.31706791,309469.66442670627,84.9081934450803,309384.7562332612,114824968.08746368,19137494.681243945,2017-08-21,36.59000015258789,0
